,passenger_count,trip_distance,PULocationID,DOLocationID,fare_amount,extra,tip_amount,tolls_amount,congestion_surcharge,airport_fee,PUZone,DOZone,PULat,PULong,DOLat,DOLong,duration,speed_minutes,hour_pickup,minute_pickup,day_pickup,peak_hour
2525558,1.0,2.3345000000000002,170,230,7.5,0.0,2.16,0.0,2.5,0.0,Kips Bay,Kips Bay,40.73955,-73.97708,40.73955,-73.97708,8.616666666666667,0.2709284332688588,7,38,23,0
292417,1.0,2.0930000000000004,234,68,7.0,0.5,2.16,0.0,2.5,0.0,East Village,Financial District North,40.7265,-73.9815,40.708,-74.011,8.083333333333334,0.25892783505154643,21,48,3,0
1994778,1.0,13.4274,132,265,33.0,0.0,0.0,0.0,0.0,1.25,Meatpacking/West Village West,Upper West Side South,40.741,-74.0076,40.787,-73.9754,30.316666666666666,0.4429048927982408,15,14,18,1
1875433,1.0,16.1966,138,144,36.5,0.0,7.96,0.0,2.5,1.25,Midtown Center,Lenox Hill East,40.7588,-73.97291,40.7662,-73.9602,43.766666666666666,0.37006702208682407,15,9,17,0
1584019,2.0,2.8819000000000004,137,79,9.0,0.5,2.56,0.0,2.5,0.0,Greenwich Village South,TriBeCa/Civic Center,40.73211001,-73.99648007,40.71626,-74.01257993,11.083333333333334,0.260021052631579,20,5,14,0
2107717,1.0,2.0608,229,237,7.5,2.5,0.0,0.0,0.0,0.0,JFK Airport,Upper East Side South,40.63983,-73.77874,40.7736,-73.9566,10.0,0.20607999999999999,14,49,19,0
2959059,2.0,3.703,236,42,9.0,3.0,2.55,0.0,2.5,0.0,Central Park,Little Italy/NoLiTa,40.76748004,-73.97069005,40.722542,-73.9951515,8.6,0.4305813953488372,20,21,26,0
1323367,1.0,5.957000000000001,161,231,18.5,3.5,4.55,0.0,2.5,0.0,Flatiron,Midtown Center,40.7401,-73.9903,40.7588,-73.97291,27.65,0.2154430379746836,19,36,12,0
2914006,1.0,2.898,161,236,11.5,2.5,0.0,0.0,2.5,0.0,UN/Turtle Bay South,Garment District,40.74966,-73.96918,40.7544,-73.99185,16.266666666666666,0.17815573770491805,14,44,26,0
3100989,1.0,4.6690000000000005,230,151,12.5,2.5,3.15,0.0,2.5,0.0,Greenwich Village North,Lincoln Square West,40.73211001,-73.99648007,40.77677997,-73.98296006,12.966666666666667,0.36007712082262217,9,45,28,0
1693180,1.0,3.2361,43,143,9.0,0.5,2.56,0.0,2.5,0.0,Penn Station/Madison Sq West,Gramercy,40.7498,-73.9917,40.7368,-73.9845,8.783333333333333,0.36843643263757114,21,12,15,0
2389457,3.0,10.304000000000002,114,238,29.0,2.5,6.45,0.0,2.5,0.0,Midtown East,Clinton East,40.7509,-73.96442,40.7638,-73.9918,39.4,0.26152284263959397,19,26,21,0
1647713,1.0,3.4132000000000002,239,262,12.0,0.0,0.76,0.0,2.5,0.0,Penn Station/Madison Sq West,Gramercy,40.7498,-73.9917,40.7368,-73.9845,16.316666666666666,0.20918488253319717,13,17,15,0
1481658,1.0,6.923,79,50,18.5,0.5,0.0,0.0,2.5,0.0,Upper East Side South,Upper East Side North,40.7736,-73.9566,40.7641,-73.956,24.6,0.2814227642276423,23,45,13,0
105449,1.0,2.737,229,100,10.5,2.5,3.45,0.0,2.5,0.0,Upper West Side North,East Harlem South,40.91394506,-73.84871493,40.795,-73.939,14.45,0.18941176470588236,8,43,2,0
833211,1.0,2.1896000000000004,186,230,8.0,0.0,0.0,0.0,2.5,0.0,Upper East Side North,Yorkville West,40.7641,-73.956,40.7712,-73.9495,9.483333333333333,0.2308892794376099,13,20,8,0
2345672,3.0,10.626,74,232,21.0,2.5,0.0,0.0,2.5,0.0,Midtown East,Clinton East,40.7509,-73.96442,40.7638,-73.9918,21.283333333333335,0.49926389976507435,13,33,21,0
587621,2.0,28.5292,161,1,67.0,0.0,21.39,18.25,0.0,0.0,Clinton East,Midtown North,40.7638,-73.9918,40.754932,-73.984016,35.916666666666664,0.7943164733178655,11,22,6,0
3142336,1.0,3.3327,107,148,9.0,0.0,2.46,0.0,2.5,0.0,East Elmhurst,Meatpacking/West Village West,40.76439,-73.87402,40.741,-74.0076,8.45,0.39440236686390534,17,31,28,0
86634,1.0,3.3810000000000002,239,236,11.0,3.0,2.95,0.0,2.5,0.0,Upper West Side North,East Harlem South,40.91394506,-73.84871493,40.795,-73.939,13.516666666666667,0.2501356350184957,21,28,1,0
3458338,1.0,28.3843,132,186,52.0,0.0,12.62,6.55,2.5,1.25,East Harlem South,LaGuardia Airport,40.795,-73.939,40.77013003,-73.86703007,37.45,0.7579252336448598,23,15,31,0
1403620,1.0,2.5438,229,237,10.5,0.0,2.76,0.0,2.5,0.0,Upper East Side South,Park Slope,40.7736,-73.9566,40.6711,-73.9814,14.983333333333333,0.16977530589543938,13,57,13,1
973711,1.0,3.4132000000000002,170,4,9.0,0.5,2.56,0.0,2.5,0.0,Lincoln Square East,West Chelsea/Hudson Yards,40.7742,-73.9849,40.75341588,-74.00002199,9.233333333333333,0.36966064981949465,20,14,9,0
80101,1.0,1.7710000000000004,234,211,6.5,3.0,1.0,0.0,2.5,0.0,Upper West Side North,East Harlem South,40.91394506,-73.84871493,40.795,-73.939,6.9,0.2566666666666667,20,36,1,0
141853,2.0,2.4794,90,170,10.0,0.0,2.66,0.0,2.5,0.0,Midtown North,Midtown South,40.754932,-73.984016,40.754932,-73.984016,13.433333333333334,0.18457071960297766,15,46,2,0
2701608,1.0,2.737,262,237,9.5,3.5,2.75,0.0,2.5,0.0,Upper West Side South,Murray Hill,40.787,-73.9754,40.7479,-73.9757,12.233333333333333,0.22373297002724798,18,13,24,0
939062,2.0,2.7692,211,12,9.5,0.0,0.0,0.0,2.5,0.0,Upper East Side North,Flatiron,40.7641,-73.956,40.7401,-73.9903,13.166666666666666,0.21031898734177218,15,33,9,0
1749684,4.0,1.7388000000000001,170,186,7.0,0.0,0.0,0.0,2.5,0.0,LaGuardia Airport,Sutton Place/Turtle Bay North,40.77013003,-73.86703007,40.75801217,-73.96019998,8.366666666666667,0.20782470119521912,13,34,16,0
744149,3.0,8.211,75,79,19.5,2.5,5.0,0.0,2.5,0.0,Murray Hill,West Village,40.7479,-73.9757,40.7347,-74.0048,24.933333333333334,0.32931818181818184,17,1,7,0
2005786,1.0,3.22,142,151,13.0,3.5,0.0,0.0,2.5,0.0,Meatpacking/West Village West,Upper East Side South,40.741,-74.0076,40.7736,-73.9566,19.033333333333335,0.16917688266199649,16,31,18,1
2949485,1.0,5.0876,237,249,13.0,1.0,3.46,0.0,2.5,0.0,Central Park,Garment District,40.76748004,-73.97069005,40.7544,-73.99185,16.55,0.30740785498489426,19,29,26,0
166105,1.0,7.889000000000001,79,75,16.0,3.5,2.0,0.0,2.5,0.0,Midtown North,Midtown South,40.754932,-73.984016,40.754932,-73.984016,15.4,0.5122727272727273,19,18,2,0
